?Codigo;Descricao;Unidade
110087;110087  TTRAFOC2 5/6.25/7.5MVA C/C GST002 RECUPE;PI
110569;TD 1F 7 967/0 24 0 12KV 25KVA GST001;CDA
110664;TP 15KV EXT 13800/R3 115/115/R3 SUC;PI
111246;TRAFO DIST MONO/BI/TRIF 3KVA SUCATA;PEÇ
111248;TRAFO DIST MONO/BI/TRIF 10KVA INSERVÍVEL;PEÇ
111268;TP 11 5KV/R3 2X115V 0 3P50 INT PBR114010;UN
111269;TP 13 8KV/R3 2X115V 0 3P50 INT PBR114010;UN
111271;TRAFO TRIFÁSICO 45KVA SUC;PEÇ
111273;TRAFO DIST BIFASICO 15KVA   SUC;PEÇ
111306;TD 3P 13.8 0.22/0.127kV 30KVA GST01/905;PEÇ
111307;TD 3P 13.8 0.22/0.127kV 45KVA GST01/906;PEÇ
111308;TD 3P 13.8 0.22/0.127kV 75KVA GST01/907;PEÇ
111312;TD 2P 13.8 0.24/0.12kV 15KVA GST01/904;PEÇ
111315;TRAFO TRI 75KVA FORA PADRAO;PEÇ
111316;TRAFO TRIF POTÊNCIA 500KVA DED 1853 I1R3;PEÇ
111317;TRAFO TRIF POTÊNCIA 750KVA DED 1853 I2R3;PEÇ
111319;TD 3P 13.8 0.22/0.127kV 150KVA GST01/908;PEÇ
111321;TD 3P 13.8 0.22/0.127kV 300KVA GST01/909;PEÇ
111322;TD 1P 7.97 0.24/0.12kV 10KVA GST01/901;PEÇ
111323;TD 1P 7.97 0.24/0.12kV 15KVA GST01/903;PEÇ
111350;TRAFO TRIFÁSICO 15KVA   RECUPERADO;PEÇ
111351;TRAFO TRIFÁSICO 30KVA   RECUPERADO;PEÇ
111352;TRAFO TRIFÁSICO 45KVA RECUPERADO;PEÇ
111353;TRAFO 3F DIST 75kVA REC GST001;PEÇ
111354;TRAFO TRIFÁSICO 112 5KVA   RECUPERADO;PEÇ
111355;TRAFO DIST BIFÁSICO 10KVA   RECUPERADO;PEÇ
111356;TRAFO DIST BIFÁSICO 15KVA   RECUPERADO;PEÇ
111357;TRAFO DIST BIFÁSICO 25KVA   RECUPERADO;PEÇ
111358;TRAFO TRI 150KVA MINERAL   RECUPERADO;PEÇ
111359;TRAFO TRI 225KVA MINERAL   RECUPERADO;PEÇ
111360;TRAFO TRI 300KVA MINERAL   RECUPERADO;PEÇ
